Tempo (s);Algoritmo;Total Escoados;Fila Maxima;Ocupacao Media
0;BACKPRESSURE;0;0;0.0
4;BACKPRESSURE;1;1;0.13
9;BACKPRESSURE;2;2;0.26
14;BACKPRESSURE;2;3;0.39
19;BACKPRESSURE;8;4;0.35
24;BACKPRESSURE;9;4;0.35
29;BACKPRESSURE;10;5;0.48
33;BACKPRESSURE;13;6;0.55
38;BACKPRESSURE;17;6;0.58
43;BACKPRESSURE;18;5;0.55
48;BACKPRESSURE;19;5;0.68
53;BACKPRESSURE;19;5;0.84
58;BACKPRESSURE;27;5;0.71
63;BACKPRESSURE;33;5;0.68
67;BACKPRESSURE;34;6;0.81
72;BACKPRESSURE;37;6;0.74
77;BACKPRESSURE;44;6;0.68
82;BACKPRESSURE;47;5;0.74
87;BACKPRESSURE;47;5;0.74
92;BACKPRESSURE;47;6;0.9
97;BACKPRESSURE;55;6;0.81
102;BACKPRESSURE;56;7;0.94
107;BACKPRESSURE;57;7;1.06
112;BACKPRESSURE;57;7;1.06
117;BACKPRESSURE;62;7;1.06
122;BACKPRESSURE;63;7;1.19
126;BACKPRESSURE;63;7;1.35
131;BACKPRESSURE;63;7;1.52
136;BACKPRESSURE;69;6;1.32
141;BACKPRESSURE;70;7;1.45
146;BACKPRESSURE;71;7;1.58
151;BACKPRESSURE;71;7;1.61
156;BACKPRESSURE;79;7;1.52
160;BACKPRESSURE;79;7;1.65
165;BACKPRESSURE;80;7;1.77
170;BACKPRESSURE;80;8;1.94
175;BACKPRESSURE;90;6;1.74
180;BACKPRESSURE;90;7;1.74
185;BACKPRESSURE;91;7;1.87
190;BACKPRESSURE;92;8;2.0
195;BACKPRESSURE;97;7;2.0
200;BACKPRESSURE;97;8;2.03
205;BACKPRESSURE;97;9;2.19
210;BACKPRESSURE;97;8;2.32
215;BACKPRESSURE;107;8;2.16
220;BACKPRESSURE;109;9;2.26
224;BACKPRESSURE;110;9;2.39
229;BACKPRESSURE;110;9;2.39
234;BACKPRESSURE;116;10;2.35
239;BACKPRESSURE;116;9;2.52
244;BACKPRESSURE;117;10;2.52
249;BACKPRESSURE;118;9;2.61
253;BACKPRESSURE;130;9;2.35
258;BACKPRESSURE;131;10;2.45
263;BACKPRESSURE;132;9;2.58
268;BACKPRESSURE;132;9;2.61
273;BACKPRESSURE;139;10;2.52
278;BACKPRESSURE;139;11;2.68
283;BACKPRESSURE;139;12;2.84
287;BACKPRESSURE;139;13;2.97
292;BACKPRESSURE;152;13;2.58
297;BACKPRESSURE;154;14;2.65
302;BACKPRESSURE;155;15;2.71
308;BACKPRESSURE;155;15;2.74
313;BACKPRESSURE;159;16;2.74
317;BACKPRESSURE;160;17;2.84
322;BACKPRESSURE;161;18;2.9
327;BACKPRESSURE;161;18;3.0
332;BACKPRESSURE;176;15;2.61
337;BACKPRESSURE;176;15;2.65
342;BACKPRESSURE;177;16;2.74
347;BACKPRESSURE;179;17;2.81
351;BACKPRESSURE;184;18;2.74
356;BACKPRESSURE;185;18;2.74
361;BACKPRESSURE;185;18;2.84
366;BACKPRESSURE;185;18;2.94
371;BACKPRESSURE;199;17;2.55
376;BACKPRESSURE;201;18;2.61
380;BACKPRESSURE;202;18;2.68
385;BACKPRESSURE;202;18;2.71
390;BACKPRESSURE;210;18;2.55
395;BACKPRESSURE;210;18;2.61
400;BACKPRESSURE;210;18;2.68
405;BACKPRESSURE;210;18;2.74
410;BACKPRESSURE;223;14;2.42
415;BACKPRESSURE;224;15;2.48
420;BACKPRESSURE;225;16;2.58
425;BACKPRESSURE;225;16;2.65
430;BACKPRESSURE;229;17;2.61
435;BACKPRESSURE;229;18;2.74
440;BACKPRESSURE;229;18;2.84
444;BACKPRESSURE;229;18;2.9
449;BACKPRESSURE;244;15;2.45
454;BACKPRESSURE;245;16;2.55
459;BACKPRESSURE;246;17;2.61
464;BACKPRESSURE;247;17;2.65
469;BACKPRESSURE;257;18;2.45
473;BACKPRESSURE;257;18;2.55
478;BACKPRESSURE;258;18;2.58
483;BACKPRESSURE;258;18;2.68
488;BACKPRESSURE;269;14;2.39
493;BACKPRESSURE;269;14;2.42
498;BACKPRESSURE;270;15;2.52
503;BACKPRESSURE;271;16;2.61
508;BACKPRESSURE;279;17;2.45
513;BACKPRESSURE;279;17;2.52
518;BACKPRESSURE;279;18;2.65
523;BACKPRESSURE;279;18;2.71
528;BACKPRESSURE;291;15;2.39
533;BACKPRESSURE;293;16;2.45
537;BACKPRESSURE;294;17;2.55
542;BACKPRESSURE;294;17;2.58
547;BACKPRESSURE;300;18;2.52
552;BACKPRESSURE;300;18;2.58
557;BACKPRESSURE;300;18;2.65
562;BACKPRESSURE;301;18;2.68
567;BACKPRESSURE;314;13;2.35
571;BACKPRESSURE;315;14;2.42
576;BACKPRESSURE;316;15;2.52
581;BACKPRESSURE;316;15;2.58
586;BACKPRESSURE;321;16;2.52
591;BACKPRESSURE;321;17;2.65
596;BACKPRESSURE;321;18;2.77
601;BACKPRESSURE;321;18;2.84
606;BACKPRESSURE;332;17;2.52
611;BACKPRESSURE;333;18;2.61
616;BACKPRESSURE;334;18;2.65
621;BACKPRESSURE;334;18;2.71
626;BACKPRESSURE;343;18;2.52
631;BACKPRESSURE;343;18;2.61
635;BACKPRESSURE;343;18;2.68
640;BACKPRESSURE;344;18;2.74
645;BACKPRESSURE;357;14;2.39
650;BACKPRESSURE;360;14;2.32
655;BACKPRESSURE;361;15;2.42
660;BACKPRESSURE;362;16;2.52
664;BACKPRESSURE;367;17;2.45
669;BACKPRESSURE;367;17;2.52
674;BACKPRESSURE;367;18;2.65
679;BACKPRESSURE;367;18;2.71
684;BACKPRESSURE;380;13;2.35
689;BACKPRESSURE;381;14;2.45
