Tempo (s);Algoritmo;Total Escoados;Fila Maxima;Ocupacao Media
0;HEURISTICA;0;0;0.0
0;HEURISTICA;0;0;0.0
1;HEURISTICA;2;1;0.21
1;HEURISTICA;4;1;0.14
2;HEURISTICA;4;1;0.25
2;HEURISTICA;4;2;0.43
3;HEURISTICA;4;2;0.43
3;HEURISTICA;7;3;0.57
4;HEURISTICA;8;3;0.57
4;HEURISTICA;8;3;0.57
5;HEURISTICA;9;4;0.82
5;HEURISTICA;17;3;0.54
6;HEURISTICA;17;3;0.64
6;HEURISTICA;17;3;0.82
7;HEURISTICA;17;3;0.82
7;HEURISTICA;28;4;0.71
8;HEURISTICA;29;4;0.68
8;HEURISTICA;30;5;0.89
9;HEURISTICA;30;5;0.93
9;HEURISTICA;41;3;0.54
10;HEURISTICA;41;3;0.82
10;HEURISTICA;41;3;0.82
11;HEURISTICA;41;3;0.82
11;HEURISTICA;51;3;0.75
12;HEURISTICA;51;3;0.75
12;HEURISTICA;52;4;0.96
13;HEURISTICA;54;4;0.93
13;HEURISTICA;64;4;0.68
14;HEURISTICA;64;4;0.86
14;HEURISTICA;64;4;0.86
13;HEURISTICA;64;4;1.11
14;HEURISTICA;70;5;0.93
14;HEURISTICA;71;5;0.89
15;HEURISTICA;73;6;1.11
15;HEURISTICA;73;6;1.11
16;HEURISTICA;80;5;0.96
16;HEURISTICA;80;5;1.14
17;HEURISTICA;80;5;1.14
17;HEURISTICA;81;6;1.36
18;HEURISTICA;94;7;0.93
18;HEURISTICA;95;7;1.14
19;HEURISTICA;95;7;1.18
19;HEURISTICA;95;7;1.18
20;HEURISTICA;106;4;1.07
20;HEURISTICA;109;4;0.96
21;HEURISTICA;109;4;1.07
21;HEURISTICA;109;4;1.25
22;HEURISTICA;125;3;0.68
22;HEURISTICA;131;4;0.71
23;HEURISTICA;132;4;0.71
23;HEURISTICA;132;4;0.71
24;HEURISTICA;142;3;0.64
24;HEURISTICA;143;3;0.61
25;HEURISTICA;143;3;0.89
25;HEURISTICA;143;3;0.89
26;HEURISTICA;156;4;0.43
26;HEURISTICA;159;5;0.61
27;HEURISTICA;160;5;0.57
27;HEURISTICA;161;5;0.68
28;HEURISTICA;169;2;0.54
28;HEURISTICA;169;2;0.54
29;HEURISTICA;169;3;0.82
29;HEURISTICA;169;3;0.82
30;HEURISTICA;179;3;0.46
30;HEURISTICA;184;4;0.57
31;HEURISTICA;184;4;0.57
31;HEURISTICA;184;5;0.86
32;HEURISTICA;192;2;0.57
32;HEURISTICA;193;3;0.64
33;HEURISTICA;193;3;0.82
33;HEURISTICA;193;3;0.82
34;HEURISTICA;205;3;0.64
34;HEURISTICA;210;3;0.5
35;HEURISTICA;210;3;0.5
35;HEURISTICA;212;3;0.71
36;HEURISTICA;219;3;0.46
36;HEURISTICA;221;3;0.5
37;HEURISTICA;221;3;0.68
37;HEURISTICA;221;3;0.71
38;HEURISTICA;229;5;0.68
38;HEURISTICA;235;2;0.46
39;HEURISTICA;238;4;0.61
39;HEURISTICA;238;4;0.64
40;HEURISTICA;240;4;0.57
40;HEURISTICA;241;4;0.82
41;HEURISTICA;241;4;0.82
41;HEURISTICA;241;4;0.86
42;HEURISTICA;248;4;0.86
42;HEURISTICA;256;4;0.57
43;HEURISTICA;257;5;0.79
43;HEURISTICA;257;5;0.82
44;HEURISTICA;270;3;0.46
44;HEURISTICA;271;4;0.61
45;HEURISTICA;271;4;0.61
45;HEURISTICA;271;4;0.86
44;HEURISTICA;278;4;0.64
45;HEURISTICA;283;4;0.46
45;HEURISTICA;284;4;0.71
46;HEURISTICA;284;4;0.71
46;HEURISTICA;295;2;0.43
