Tempo (s);Algoritmo;Total Escoados;Fila Maxima;Ocupacao Media
0;RL;0;0;0.0
0;RL;0;0;0.0
1;RL;0;1;0.29
1;RL;1;1;0.25
2;RL;5;2;0.25
2;RL;6;2;0.36
3;RL;7;2;0.32
3;RL;7;3;0.61
4;RL;13;3;0.39
4;RL;14;3;0.36
5;RL;14;3;0.64
5;RL;18;4;0.5
6;RL;24;3;0.43
6;RL;24;3;0.57
7;RL;25;3;0.64
7;RL;27;3;0.75
8;RL;30;4;0.64
8;RL;34;4;0.75
9;RL;34;4;0.79
9;RL;38;4;0.64
10;RL;48;4;0.57
10;RL;52;2;0.43
11;RL;53;3;0.5
11;RL;55;2;0.61
12;RL;58;3;0.5
12;RL;60;4;0.68
13;RL;60;4;0.71
13;RL;65;4;0.68
14;RL;72;4;0.57
14;RL;75;3;0.46
15;RL;75;3;0.75
15;RL;76;3;0.71
16;RL;80;3;0.61
16;RL;80;5;0.86
17;RL;81;5;0.82
17;RL;83;6;0.89
18;RL;91;4;0.75
18;RL;92;4;0.71
19;RL;93;4;0.96
19;RL;97;4;0.82
20;RL;112;3;0.57
20;RL;115;3;0.46
21;RL;116;3;0.43
20;RL;122;3;0.5
20;RL;130;2;0.21
21;RL;132;2;0.29
21;RL;132;2;0.43
22;RL;135;2;0.32
22;RL;143;2;0.32
23;RL;143;2;0.32
23;RL;143;2;0.32
24;RL;150;2;0.36
24;RL;151;2;0.32
25;RL;152;3;0.57
25;RL;153;3;0.54
26;RL;157;3;0.43
26;RL;161;4;0.54
27;RL;161;4;0.54
27;RL;161;5;0.79
28;RL;167;3;0.61
28;RL;176;1;0.29
29;RL;177;2;0.54
29;RL;179;2;0.46
30;RL;183;2;0.39
30;RL;188;2;0.43
31;RL;189;3;0.43
31;RL;189;4;0.68
32;RL;191;5;0.61
32;RL;200;3;0.43
33;RL;200;3;0.57
33;RL;201;3;0.54
34;RL;208;3;0.57
34;RL;211;3;0.46
35;RL;211;3;0.5
35;RL;212;3;0.71
36;RL;217;3;0.54
36;RL;222;3;0.5
37;RL;224;3;0.57
37;RL;225;3;0.64
38;RL;228;4;0.71
38;RL;231;4;0.61
39;RL;235;4;0.75
39;RL;236;4;0.71
40;RL;243;3;0.46
40;RL;246;3;0.64
41;RL;248;4;0.57
41;RL;251;4;0.57
42;RL;254;5;0.64
42;RL;259;3;0.46
43;RL;263;3;0.61
43;RL;263;3;0.61
44;RL;270;3;0.5
44;RL;273;2;0.54
45;RL;273;2;0.54
45;RL;274;2;0.79
46;RL;276;3;0.71
46;RL;282;3;0.57
47;RL;282;3;0.79
47;RL;282;3;0.79
48;RL;288;4;0.79
48;RL;290;4;0.79
49;RL;291;4;0.75
49;RL;294;5;0.93
50;RL;298;5;0.79
50;RL;302;5;0.93
51;RL;305;5;0.82
51;RL;308;3;0.71
50;RL;314;5;0.79
51;RL;318;5;0.64
51;RL;319;6;0.82
52;RL;322;4;0.79
52;RL;326;3;0.64
53;RL;332;4;0.71
53;RL;333;4;0.68
54;RL;339;2;0.46
54;RL;344;2;0.57
55;RL;345;2;0.54
55;RL;346;2;0.79
56;RL;347;2;0.75
56;RL;353;3;0.68
57;RL;356;3;0.71
57;RL;357;3;0.68
58;RL;360;4;0.82
58;RL;362;3;0.79
59;RL;365;3;0.68
59;RL;365;4;0.96
60;RL;369;5;0.82
60;RL;375;6;0.79
61;RL;377;6;0.82
61;RL;380;6;0.79
62;RL;386;6;0.79
62;RL;392;3;0.57
63;RL;396;3;0.64
63;RL;396;3;0.71
64;RL;399;3;0.64
64;RL;404;3;0.71
65;RL;409;4;0.54
65;RL;409;4;0.61
66;RL;415;5;0.61
66;RL;419;5;0.46
67;RL;422;5;0.57
67;RL;422;5;0.64
68;RL;427;3;0.68
68;RL;434;3;0.5
69;RL;434;3;0.5
69;RL;435;4;0.75
70;RL;441;3;0.54
70;RL;444;2;0.46
71;RL;447;3;0.61
71;RL;448;3;0.57
72;RL;450;4;0.71
73;RL;455;5;0.61
73;RL;461;5;0.39
74;RL;464;5;0.57
74;RL;465;5;0.54
75;RL;468;5;0.64
75;RL;471;5;0.61
76;RL;472;6;0.64
76;RL;473;6;0.82
77;RL;477;6;0.68
77;RL;488;3;0.46
78;RL;491;4;0.46
78;RL;493;4;0.39
79;RL;498;2;0.43
79;RL;501;2;0.39
80;RL;501;3;0.46
80;RL;504;3;0.57
81;RL;509;3;0.39
81;RL;513;3;0.54
82;RL;515;3;0.46
82;RL;517;3;0.46
81;RL;517;4;0.68
82;RL;519;4;0.61
82;RL;519;5;0.86
83;RL;522;3;0.79
83;RL;522;4;0.82
84;RL;525;4;0.96
84;RL;527;4;0.89
85;RL;531;5;0.82
85;RL;535;5;0.89
86;RL;538;5;0.86
86;RL;542;5;0.93
87;RL;548;4;0.71
87;RL;552;7;0.79
88;RL;558;7;0.64
88;RL;560;7;0.61
89;RL;564;8;0.68
89;RL;570;3;0.5
90;RL;573;3;0.5
90;RL;573;3;0.68
91;RL;580;3;0.43
91;RL;585;3;0.46
92;RL;589;3;0.39
92;RL;590;3;0.5
93;RL;592;2;0.57
93;RL;595;2;0.5
94;RL;597;3;0.68
94;RL;597;3;0.68
95;RL;605;3;0.5
95;RL;613;2;0.39
96;RL;615;2;0.32
96;RL;616;2;0.43
97;RL;623;2;0.32
97;RL;624;2;0.32
98;RL;625;4;0.54
98;RL;625;4;0.54
99;RL;632;2;0.54
99;RL;634;3;0.5
100;RL;637;5;0.46
100;RL;638;5;0.64
101;RL;643;2;0.46
101;RL;644;3;0.54
102;RL;649;3;0.54
102;RL;649;3;0.54
103;RL;656;4;0.54
103;RL;661;2;0.39
104;RL;663;3;0.39
104;RL;663;3;0.61
105;RL;672;3;0.32
105;RL;673;3;0.54
106;RL;677;2;0.39
106;RL;677;2;0.5
107;RL;680;3;0.57
107;RL;687;2;0.32
108;RL;687;3;0.57
108;RL;688;3;0.57
109;RL;692;3;0.46
109;RL;695;2;0.61
110;RL;696;4;0.57
110;RL;696;5;0.68
111;RL;701;5;0.68
111;RL;708;4;0.5
112;RL;711;4;0.61
112;RL;711;4;0.61
113;RL;715;3;0.57
112;RL;719;3;0.61
112;RL;723;3;0.5
113;RL;724;3;0.68
113;RL;730;3;0.5
114;RL;731;3;0.54
114;RL;734;3;0.64
115;RL;734;3;0.64
115;RL;741;3;0.5
116;RL;746;4;0.5
116;RL;750;2;0.46
117;RL;750;2;0.64
117;RL;752;3;0.57
118;RL;757;4;0.64
118;RL;761;4;0.54
119;RL;762;4;0.57
119;RL;771;3;0.46
120;RL;773;3;0.39
120;RL;774;3;0.46
121;RL;774;3;0.64
121;RL;778;3;0.5
122;RL;781;4;0.64
122;RL;785;4;0.54
123;RL;786;5;0.68
123;RL;795;3;0.46
124;RL;797;2;0.43
124;RL;800;2;0.57
125;RL;801;2;0.54
125;RL;809;2;0.36
126;RL;812;3;0.43
126;RL;815;2;0.32
127;RL;817;2;0.43
127;RL;820;2;0.43
128;RL;822;2;0.39
128;RL;825;2;0.54
129;RL;825;2;0.54
129;RL;831;2;0.57
130;RL;834;3;0.5
130;RL;838;2;0.43
131;RL;838;3;0.64
131;RL;841;3;0.54
132;RL;847;4;0.46
132;RL;849;4;0.54
133;RL;851;3;0.46
133;RL;855;3;0.57
134;RL;859;3;0.46
134;RL;859;3;0.54
135;RL;861;3;0.68
135;RL;869;3;0.43
136;RL;870;3;0.64
136;RL;875;3;0.46
137;RL;878;3;0.5
137;RL;883;3;0.46
138;RL;885;3;0.39
138;RL;888;4;0.54
139;RL;890;2;0.5
139;RL;891;3;0.5
140;RL;896;3;0.57
141;RL;898;3;0.5
141;RL;902;3;0.5
142;RL;907;2;0.46
142;RL;910;3;0.46
143;RL;911;3;0.61
143;RL;912;3;0.57
144;RL;916;3;0.57
143;RL;920;3;0.57
143;RL;926;2;0.39
144;RL;927;2;0.57
144;RL;931;2;0.46
145;RL;934;3;0.46
145;RL;939;3;0.46
146;RL;942;3;0.36
146;RL;942;3;0.54
147;RL;943;4;0.61
147;RL;945;4;0.68
148;RL;950;4;0.64
148;RL;956;3;0.43
149;RL;960;3;0.54
149;RL;961;3;0.54
150;RL;963;3;0.54
150;RL;967;4;0.61
151;RL;967;4;0.61
151;RL;968;5;0.75
152;RL;975;3;0.61
152;RL;980;5;0.43
153;RL;982;5;0.61
153;RL;983;5;0.61
154;RL;988;3;0.64
154;RL;991;3;0.61
155;RL;994;3;0.54
155;RL;995;4;0.75
156;RL;1000;4;0.57
156;RL;1005;3;0.57
157;RL;1009;3;0.54
157;RL;1009;3;0.54
158;RL;1015;2;0.54
158;RL;1018;2;0.5
159;RL;1018;2;0.54
159;RL;1021;3;0.68
160;RL;1024;3;0.57
160;RL;1027;4;0.71
161;RL;1030;4;0.64
161;RL;1033;4;0.61
162;RL;1040;2;0.57
162;RL;1042;4;0.5
163;RL;1044;4;0.64
163;RL;1047;4;0.61
164;RL;1053;2;0.39
164;RL;1055;4;0.57
165;RL;1059;3;0.46
165;RL;1061;3;0.46
166;RL;1066;3;0.5
166;RL;1069;4;0.43
167;RL;1069;5;0.68
167;RL;1069;5;0.68
168;RL;1076;4;0.61
168;RL;1080;5;0.57
169;RL;1081;5;0.54
169;RL;1082;6;0.75
170;RL;1088;6;0.57
170;RL;1092;2;0.46
171;RL;1092;3;0.71
171;RL;1092;3;0.71
172;RL;1100;3;0.61
172;RL;1104;2;0.57
173;RL;1106;4;0.64
173;RL;1106;4;0.79
174;RL;1114;3;0.5
174;RL;1118;3;0.57
175;RL;1118;3;0.64
174;RL;1120;3;0.61
174;RL;1126;4;0.61
175;RL;1130;3;0.5
