Tempo (s);Algoritmo;Total Escoados;Fila Maxima;Ocupacao Media
0;RL;1.2962962962962963;11.470080641285001;0.18919882193729054
5;RL;2.5925925925925926;11.658625222146846;0.18394341809902193
10;RL;3.888888888888889;15.177289192649063;0.22277191886070505
15;RL;5.185185185185185;12.673389633071839;0.22672853941804183
20;RL;6.481481481481481;13.707710647747636;0.2589249791012187
25;RL;7.777777777777777;11.798935955207199;0.19119261049614117
30;RL;9.074074074074073;11.870256035972918;0.25665579378533915
35;RL;10.370370370370368;14.255065266770725;0.2582127790803148
40;RL;11.666666666666664;11.273126027227208;0.2420214521692361
45;RL;12.96296296296296;12.498591118243363;0.2622321988497847
50;RL;14.259259259259256;13.117654628423569;0.2887410347947663
55;RL;15.555555555555552;13.271848153341674;0.28981250278235066
60;RL;16.851851851851848;12.966277831229739;0.23513819305396683
65;RL;18.148148148148145;13.742431200328168;0.2998192490535248
70;RL;19.444444444444443;14.171238205188855;0.2790595763345663
75;RL;20.74074074074074;14.280977478699082;0.28897218846068884
80;RL;22.037037037037038;12.187937822498464;0.2947676062849558
85;RL;23.333333333333336;13.122510747380579;0.2938501379256387
90;RL;24.629629629629633;15.028670233596072;0.33989438353748
95;RL;25.92592592592593;14.711037677175572;0.3074173508634732
100;RL;27.22222222222223;11.934166414815227;0.2821282368421361
105;RL;28.518518518518526;14.147102641065139;0.30969445604922086
110;RL;29.814814814814824;11.292483240364703;0.3326469242673086
115;RL;31.11111111111112;13.881445466117006;0.36994825732658737
120;RL;32.40740740740742;16.252497645932344;0.3569503853808224
125;RL;33.70370370370372;12.752935014871964;0.31912721750462764
130;RL;35.000000000000014;12.95240914105205;0.42498470440208724
135;RL;36.29629629629631;15.007862211340928;0.36415799726574144
140;RL;37.59259259259261;12.181835126821126;0.40026219111105404
145;RL;38.88888888888891;13.376905269935211;0.36323476699844837
150;RL;40.185185185185205;14.97091251572703;0.3895727083816102
155;RL;41.4814814814815;13.49001582059641;0.4045417172106805
160;RL;42.7777777777778;14.04542268265278;0.4216892344624375
165;RL;44.0740740740741;15.328129341018613;0.4226501733058382
170;RL;45.370370370370395;14.982341844003853;0.4228807651813623
175;RL;46.66666666666669;14.846444271410729;0.3930479842780313
180;RL;47.96296296296299;14.146530463412256;0.39113393598985424
185;RL;49.25925925925929;15.090521743044327;0.42405027359294356
190;RL;50.555555555555586;14.530791535291765;0.4478516214881313
195;RL;51.85185185185188;15.315226434282023;0.4189618893292825
200;RL;53.14814814814818;14.179316426935644;0.46338440035869394
205;RL;54.44444444444448;14.629782276817018;0.4807934747865293
210;RL;55.740740740740776;13.678058290559756;0.4155110758844229
215;RL;57.037037037037074;14.929258055200307;0.42367881337741864
220;RL;58.33333333333337;14.016778524630372;0.4503609137588285
225;RL;59.62962962962967;13.695483577922266;0.469586276606346
230;RL;60.92592592592597;15.468880111902319;0.4504066171823402
235;RL;62.222222222222264;15.468990433363489;0.5124954389960475
240;RL;63.51851851851856;16.239169918685455;0.4904370955102684
245;RL;64.81481481481485;14.779182824489196;0.48468423214661854
250;RL;66.11111111111114;15.885667881462341;0.4462092660180221
255;RL;67.40740740740743;16.121610824716804;0.45559780827593427
260;RL;68.70370370370372;16.046593155622546;0.5092882913118952
265;RL;70.00000000000001;14.516070828788703;0.4426658760534775
270;RL;71.2962962962963;15.792354321588693;0.5428085981621262
275;RL;72.5925925925926;16.11833737527636;0.513470591576316
280;RL;73.88888888888889;15.729647125301293;0.6212937270300093
285;RL;75.18518518518518;13.170089005160836;0.5990241564953321
290;RL;76.48148148148147;16.03631014454987;0.5301289279341049
295;RL;77.77777777777776;18.6588739502879;0.5381680209702724
