tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;backpressure;10;5.0;0.25
10;backpressure;10;5.0;0.25
15;backpressure;16;5.0;0.33
20;backpressure;18;3.0;0.31
25;backpressure;33;6.0;0.42
30;backpressure;45;10.0;0.45
35;backpressure;57;14.0;0.48
40;backpressure;42;11.0;0.31
45;backpressure;34;8.0;0.31
50;backpressure;22;5.0;0.28
55;backpressure;14;4.0;0.28
60;backpressure;30;5.0;0.41
65;backpressure;42;9.0;0.44
70;backpressure;54;13.0;0.47
75;backpressure;46;12.0;0.34
80;backpressure;31;7.0;0.30
85;backpressure;22;5.0;0.28
90;backpressure;10;5.0;0.25
95;backpressure;26;4.0;0.38
100;backpressure;39;8.0;0.43
105;backpressure;51;12.0;0.46
110;backpressure;52;13.0;0.42
115;backpressure;37;9.0;0.32
120;backpressure;25;5.0;0.29
125;backpressure;10;5.0;0.25
130;backpressure;26;4.0;0.38
135;backpressure;39;8.0;0.43
140;backpressure;51;12.0;0.46
145;backpressure;53;14.0;0.38
150;backpressure;40;10.0;0.33
155;backpressure;28;6.0;0.29
160;backpressure;13;5.0;0.26
165;backpressure;22;3.0;0.35
170;backpressure;36;7.0;0.43
175;backpressure;48;11.0;0.46
180;backpressure;60;15.0;0.49
