tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;roundrobin;10;5.0;0.25
10;roundrobin;10;5.0;0.25
15;roundrobin;10;5.0;0.25
20;roundrobin;12;2.0;0.17
25;roundrobin;33;6.0;0.42
30;roundrobin;42;9.0;0.44
35;roundrobin;41;10.0;0.35
40;roundrobin;28;6.0;0.29
45;roundrobin;13;5.0;0.26
50;roundrobin;6;3.0;0.15
55;roundrobin;18;3.0;0.25
60;roundrobin;38;7.0;0.48
65;roundrobin;45;10.0;0.45
70;roundrobin;30;8.0;0.21
75;roundrobin;19;5.0;0.27
80;roundrobin;13;5.0;0.26
85;roundrobin;2;1.0;0.05
90;roundrobin;24;4.0;0.33
95;roundrobin;39;8.0;0.43
100;roundrobin;47;10.0;0.50
105;roundrobin;23;5.0;0.24
110;roundrobin;13;5.0;0.26
115;roundrobin;8;4.0;0.20
120;roundrobin;14;2.0;0.22
125;roundrobin;33;6.0;0.42
130;roundrobin;45;10.0;0.45
135;roundrobin;39;9.0;0.37
140;roundrobin;19;5.0;0.27
145;roundrobin;10;5.0;0.25
150;roundrobin;4;2.0;0.10
155;roundrobin;24;4.0;0.33
160;roundrobin;36;7.0;0.43
165;roundrobin;48;11.0;0.46
170;roundrobin;32;7.0;0.33
175;roundrobin;22;5.0;0.35
180;roundrobin;10;5.0;0.25
