Tempo (s);Algoritmo;Total Escoados;Fila Maxima
0;HEURISTICA;0;0
5;HEURISTICA;0;0
10;HEURISTICA;3;2
15;HEURISTICA;13;4
20;HEURISTICA;23;3
25;HEURISTICA;23;4
30;HEURISTICA;23;8
35;HEURISTICA;47;10
40;HEURISTICA;67;9
45;HEURISTICA;89;9
50;HEURISTICA;108;6
55;HEURISTICA;108;8
60;HEURISTICA;108;8
65;HEURISTICA;120;8
70;HEURISTICA;146;15
75;HEURISTICA;168;13
80;HEURISTICA;183;12
85;HEURISTICA;185;16
90;HEURISTICA;185;17
95;HEURISTICA;201;15
100;HEURISTICA;215;9
105;HEURISTICA;237;20
110;HEURISTICA;257;20
115;HEURISTICA;274;14
120;HEURISTICA;278;17
125;HEURISTICA;301;15
130;HEURISTICA;321;12
135;HEURISTICA;333;9
140;HEURISTICA;358;19
145;HEURISTICA;377;15
150;HEURISTICA;388;17
155;HEURISTICA;402;23
160;HEURISTICA;429;21
165;HEURISTICA;444;13
170;HEURISTICA;448;17
175;HEURISTICA;472;21
180;HEURISTICA;486;24
185;HEURISTICA;507;27
190;HEURISTICA;519;30
195;HEURISTICA;530;28
200;HEURISTICA;543;30
205;HEURISTICA;547;30
210;HEURISTICA;574;30
215;HEURISTICA;596;30
220;HEURISTICA;617;27
225;HEURISTICA;645;30
230;HEURISTICA;658;30
235;HEURISTICA;668;25
240;HEURISTICA;687;25
245;HEURISTICA;709;27
250;HEURISTICA;732;30
255;HEURISTICA;749;30
260;HEURISTICA;764;30
265;HEURISTICA;776;24
270;HEURISTICA;790;24
275;HEURISTICA;802;30
280;HEURISTICA;820;30
285;HEURISTICA;841;27
290;HEURISTICA;848;25
295;HEURISTICA;875;30
300;HEURISTICA;897;30
305;HEURISTICA;917;30
310;HEURISTICA;932;29
315;HEURISTICA;958;30
320;HEURISTICA;973;30
325;HEURISTICA;995;30
330;HEURISTICA;1015;30
335;HEURISTICA;1034;30
340;HEURISTICA;1054;30
345;HEURISTICA;1072;30
350;HEURISTICA;1084;35
355;HEURISTICA;1095;30
360;HEURISTICA;1123;30
365;HEURISTICA;1144;30
370;HEURISTICA;1163;30
375;HEURISTICA;1178;30
380;HEURISTICA;1196;30
385;HEURISTICA;1226;30
390;HEURISTICA;1245;26
395;HEURISTICA;1261;28
400;HEURISTICA;1280;30
405;HEURISTICA;1311;30
410;HEURISTICA;1327;30
415;HEURISTICA;1340;29
420;HEURISTICA;1354;31
425;HEURISTICA;1374;39
430;HEURISTICA;1396;38
435;HEURISTICA;1417;39
440;HEURISTICA;1440;38
445;HEURISTICA;1461;37
450;HEURISTICA;1482;31
455;HEURISTICA;1502;29
460;HEURISTICA;1519;28
465;HEURISTICA;1529;26
470;HEURISTICA;1550;29
